Id,Sales
1,3818.6905541093433
2,7250.179636889202
3,8846.521412694132
4,7289.084668528787
5,7521.653861118626
6,5741.183957614748
7,7340.29167823905
8,7625.395686263043
9,4662.9919966485895
10,5897.229784044289
11,6750.69176501592
12,8242.240010404523
13,7102.250483871236
14,9063.794544876404
15,5507.151218632819
16,4794.031560614475
17,5290.397113368424
18,9640.435645791218
19,10768.631333376286
20,9752.722945043173
21,8114.177757761705
22,4441.794876326579
23,5769.278767785469
24,4592.160301750219
25,7811.195877868659
26,10874.115249593498
27,8988.027490034003
28,5620.742048036315
29,5344.620197953942
30,3995.3699644148414
31,5732.493583872858
32,10690.279661175371
33,6749.248394627715
34,5030.528024268459
35,5062.013019883469
36,7585.48901355063
37,3490.3129964268555
38,7268.928434532717
39,4046.497507522471
40,7077.2504202423315
41,6565.183163898755
42,5400.518694480063
43,7159.0659038691
44,7135.596283111931
45,4759.376077111404
46,7104.795016063343
47,6855.336859428726
48,11077.561444979414
49,5944.310542807223
50,8241.998417345409
51,6647.358966414741
52,8157.108866893349
53,6489.974041398438
54,9381.168286510143
55,5015.806060979396
56,5230.249366072306
57,6184.137083525141
58,6006.959016569297
59,8691.68883066838
60,7017.0676507226035
61,5562.5100212565385
62,7160.743249198222
63,6980.327460646796
64,10021.341664413545
65,4022.1244033378894
66,12715.955930020802
67,5040.912154847735
68,6338.531336184515
69,8148.057452320661
70,4823.724287248493
71,6198.160119909927
72,6575.365665185941
73,7374.9363530760165
74,5238.978918935462
75,5290.851093386984
76,8232.31647822611
77,7451.832206527644
78,6855.6774613646685
79,5118.698624485449
80,7233.685847369623
81,11407.87085810418
82,6637.118599569057
83,4240.791586314729
84,6116.756889839798
85,5930.818767547325
86,5556.4678319534205
87,7810.366967483762
88,4066.2758656360925
89,7762.205162542842
90,6104.109311439519
91,6482.921883544107
92,6662.439125566969
93,4629.877101824182
94,5892.393998981458
95,5140.720415746439
96,7596.833504239932
97,8892.097821787227
98,4814.468180256954
99,4912.238053415397
100,7159.890058809525
101,5540.875828856288
102,5272.711362020575
103,8274.307550418936
104,6748.263132587106
105,6805.259842247071
106,5581.586999681428
107,4663.243529863142
108,6446.285013860259
109,7632.22148769821
110,7598.764089480985
111,7912.837708507731
112,7698.977545403653
113,5804.692554479763
114,8167.049174558995
115,5911.751566642383
116,7179.330793588865
117,8148.288310688601
118,6886.466596578443
119,10114.82683626602
120,7240.18733882531
121,7599.733206545031
122,5289.437047912597
123,7301.866754029135
124,7170.553564189072
125,6485.488851871059
126,4116.1921944257465
127,5306.943387483706
128,7821.900071557768
129,5907.297963015756
130,4125.781174347562
131,8673.024193888232
132,6909.79821084734
133,6506.02719140611
134,5760.015643914109
135,5555.252365015447
136,7196.911347244459
137,7149.5254691568425
138,6360.98555031401
139,4935.202847845659
140,5424.172954015156
141,6550.142976461583
142,3730.3953327271106
143,6520.7092726291075
144,4954.219694937804
145,8285.831620206614
146,7768.745361638491
147,6586.628816799392
148,11682.34331251212
149,5020.673624764793
150,4792.152307870657
151,10301.376177834249
152,6448.877227650359
153,7878.281892073765
154,7609.131829979345
155,5345.369318995475
156,5823.297836868755
157,5970.016208181687
158,8620.867134153215
159,11358.13486559631
160,6078.664327652073
161,3316.697856606561
162,4507.137960974388
163,8983.173864564795
164,8678.704435299154
165,5616.713213482445
166,6839.008141645508
167,4553.535783617282
168,5806.3467909628625
169,3256.7374202787173
170,5056.5425304886385
171,6154.125945709856
172,7334.683030205523
173,6420.519747895483
174,6900.137498640742
175,7885.815563953751
176,8430.120518841872
177,7697.052759020335
178,4761.131770279079
179,8406.959889695438
180,10904.814587246592
181,5413.9349361199165
182,7702.996890830135
183,5165.824889014011
184,6475.120553807528
185,3774.7183688983628
186,7059.715509927399
187,5225.970487778922
188,7991.932951128599
189,7041.779632265079
190,7577.341974283257
191,7503.397786155469
192,5188.611550423315
193,8367.654312738601
194,18378.266789866335
